Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,0.9692307692307692,0.9707089887236946,,0.9693623265787833,3.339323043823242
PassiveAggressiveClassifier,0.9615384615384616,0.9625682324211736,,0.9615540536157534,0.1334071159362793
LinearSVC,0.9538461538461539,0.9548988185017597,,0.9536107462443083,0.8066291809082031
RidgeClassifierCV,0.95,0.9526162307871867,,0.950344025213839,0.22877740859985352
LogisticRegression,0.9384615384615385,0.9400367198161317,,0.9379877293823947,0.10885906219482422
Perceptron,0.9230769230769231,0.924468954248366,,0.9227248943757403,0.04775643348693848
NuSVC,0.9230769230769231,0.9240748783487753,,0.9226431745462804,0.1311202049255371
SGDClassifier,0.8730769230769231,0.8754035588594412,,0.8718386234648168,0.059061527252197266
RandomForestClassifier,0.8384615384615385,0.8459451088127559,,0.8376535828063753,0.9462966918945312
LGBMClassifier,0.8384615384615385,0.8430165014723838,,0.8387613262000176,2.889876365661621
ExtraTreesClassifier,0.8307692307692308,0.8401965273288803,,0.8299230191366508,0.24963641166687012
RidgeClassifier,0.8346153846153846,0.8394231330352654,,0.8369487849241197,0.029253721237182617
KNeighborsClassifier,0.8115384615384615,0.8179918121094591,,0.8097747993980199,0.08761239051818848
SVC,0.7769230769230769,0.785656882945486,,0.7757077149410647,0.10375499725341797
XGBClassifier,0.7730769230769231,0.7787877971701501,,0.7734039787641999,1.1958343982696533
BaggingClassifier,0.6423076923076924,0.6537982340372046,,0.6404582865645457,1.7804346084594727
DecisionTreeClassifier,0.5038461538461538,0.5179295275802629,,0.49775332339219047,0.19866037368774414
LinearDiscriminantAnalysis,0.4307692307692308,0.44091442666810315,,0.42527637907794424,0.24129796028137207
NearestCentroid,0.38461538461538464,0.39443221198735906,,0.38569050099112984,0.06417536735534668
GaussianNB,0.38461538461538464,0.38857140612655316,,0.3806837170066743,0.028843164443969727
ExtraTreeClassifier,0.3769230769230769,0.3796350351037851,,0.37462014503190977,0.020144939422607422
BernoulliNB,0.3384615384615385,0.3522803432270344,,0.3295296152822046,0.0272371768951416
AdaBoostClassifier,0.22692307692307692,0.24235729548229548,,0.17239120250940654,2.2185089588165283
QuadraticDiscriminantAnalysis,0.15,0.15096221180780006,,0.15024586904013898,0.16129589080810547
DummyClassifier,0.1,0.125,,0.018181818181818184,0.018788814544677734
LabelSpreading,0.15,0.125,,0.03913043478260869,0.057301998138427734
LabelPropagation,0.15,0.125,,0.03913043478260869,0.05183577537536621
